data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-03-29,202613,155,100,578,93,8.71E-05,39.87795,0,1,350600320261320552,2026-04-09,Bauru,,0.6793178,388686,20.15605,89.87121667,0,0,1,74.95465,56.58668333,24.03255,28.45601667,93,,,,,57953
2026-03-22,202612,274,262,315,261,0.99921584,70.49392,0,1,350600320261220552,2026-04-09,Bauru,,1.3366888,388686,20.82162857,89.13902857,0,1,1,73.4948,56.28092857,24.86352857,29.1652,219,,,,,57953
2026-03-15,202611,243,237,258,237,0.9975393,62.51833,0,1,350600320261120552,2026-04-09,Bauru,,1.3137218,388686,20.15781429,91.79351429,0,1,1,76.95868571,57.98921429,24.49268571,29.07382857,28,,,,,57953
2026-03-08,202610,187,183,196,183,0.7958948,48.110813,0,1,350600320261020552,2026-04-09,Bauru,,1.0912427,388686,19.64718571,95.56615714,0,0,1,85.18658571,69.70808571,22.5447,25.845,15,,,,,57953
2026-03-01,202609,196,194,203,194,0.95611715,50.426308,0,1,350600320260920552,2026-04-09,Bauru,,1.1974583,388686,18.5167,87.37581429,0,1,1,66.79721429,47.41138571,23.46012857,28.85581429,7,,,,,57953
2026-02-22,202608,159,158,164,158,0.5325494,40.907055,0,1,350600320260820552,2026-04-09,Bauru,,1.0092119,388686,20.662,91.22118571,0,0,1,79.62321429,63.9621,23.70431429,27.55388571,8,,,,,57953
2026-02-15,202607,171,171,174,171,0.8651223,43.99438,0,1,350600320260720552,2026-04-09,Bauru,,1.1307938,388686,21.97621429,89.9044,0,0,1,72.88332857,54.63958571,26.16001429,30.50952857,7,,,,,57953
2026-02-08,202606,154,154,155,154,0.6142245,39.62067,0,1,350600320260620552,2026-04-09,Bauru,,1.0338802,388686,20.86962857,94.5569,1,0,1,84.6876,69.01775714,23.37861429,26.83285714,7,,,,,57953
2026-02-01,202605,158,158,159,158,0.5214256,40.64978,0,1,350600320260520552,2026-04-09,Bauru,,1.0060648,388686,21.02721429,95.62525714,1,0,1,85.33251429,72.3383,23.66307143,26.99547143,9,,,,,57953
2026-01-25,202604,133,133,133,133,0.050919868,34.217854,0,1,350600320260420552,2026-04-09,Bauru,,0.8261384,388686,20.41324286,93.71808571,0,0,1,76.49265714,58.76202857,24.6754,29.21341429,8,,,,,57953
2026-01-18,202603,161,161,161,161,0.7514501,41.42161,0,1,350600320260320552,2026-04-09,Bauru,,1.0800998,388686,18.64294286,85.73187143,0,0,1,72.55698571,58.25424286,22.30498571,26.42774286,17,,,,,57953
2026-01-11,202602,180,180,180,180,0.9928823,46.309875,0,1,350600320260220552,2026-04-09,Bauru,,1.3185233,388686,20.88657143,94.07598571,1,1,1,77.86371429,57.44267143,24.72527143,29.09477143,12,,,,,57953
2026-01-04,202601,148,148,148,148,0.753899,38.077007,0,1,350600320260120552,2026-04-09,Bauru,,1.0847628,388686,20.76534286,84.76098571,0,0,1,67.39705714,50.48682857,25.2552,30.2104,4,,,,,57953
2025-12-28,202553,122,122,122,122,0.08430635,31.387804,0,1,350600320255320552,2026-04-09,Bauru,,0.8447454,388686,22.30507143,95.33522857,1,0,1,77.10482857,55.76498571,26.33645714,31.2071,8,,,,,57953
2025-12-21,202552,141,141,141,141,0.11999911,36.27607,0,1,350600320255220552,2026-04-09,Bauru,,0.87362415,388686,21.89587143,84.99582857,0,0,1,63.77257143,46.33054286,27.07472857,31.88847143,17,,,,,57953
2025-12-14,202551,139,139,139,139,0.011286584,35.761513,0,1,350600320255120552,2026-04-09,Bauru,,0.7739506,388686,20.39122857,90.0956,0,0,1,78.71445714,65.46504286,23.47192857,27.22535714,9,,,,,57953
2025-12-07,202550,150,150,150,150,0.023602134,38.591564,0,1,350600320255020552,2026-04-09,Bauru,,0.80510116,388686,21.12647143,89.13391429,0,0,1,74.66318571,59.54618571,24.44467143,28.5186,12,,,,,57953
2025-11-30,202549,207,207,207,207,0.7409953,53.256355,0,1,350600320254920552,2026-04-09,Bauru,,1.0666311,388686,21.12031429,84.33478571,0,0,1,62.88354286,41.63934286,26.12461429,31.77818571,13,,,,,57953
2025-11-23,202548,173,173,173,173,0.06059558,44.508934,0,1,350600320254820552,2026-04-09,Bauru,,0.85220677,388686,17.5958,85.23188571,0,0,1,63.28515714,41.44404286,23.01294286,28.77518571,10,,,,,57953
2025-11-16,202547,192,192,192,192,0.31663278,49.3972,0,1,350600320254720552,2026-04-09,Bauru,,0.953072,388686,18.72434286,83.61925714,0,0,1,66.2775,44.91357143,23.47081429,28.81608571,13,,,,,57953
2025-11-09,202546,217,217,217,217,0.86319196,55.82913,0,1,350600320254620552,2026-04-09,Bauru,,1.1138973,388686,17.9183,80.30107143,0,0,1,62.52718571,44.94787143,23.16434286,28.70178571,13,,,,,57953
2025-11-02,202545,205,205,205,205,0.69893104,52.741802,0,1,350600320254520552,2026-04-09,Bauru,,1.0534959,388686,19.8455,92.72755714,0,0,1,75.74451429,58.3172,23.86538571,28.37164286,17,,,,,57953
2025-10-26,202544,188,188,188,188,0.31714898,48.36809,0,1,350600320254420552,2026-04-09,Bauru,,0.95273304,388686,18.98194286,85.47045714,0,0,1,70.07354286,51.95148571,23.41321429,28.07378571,13,,,,,57953
2025-10-19,202543,192,192,192,192,0.4980333,49.3972,0,1,350600320254320552,2026-04-09,Bauru,,0.9994976,388686,14.76407143,75.52288571,0,0,1,50.63125714,30.7408,20.52228571,26.7891,12,,,,,57953
