Posição;Nome do Deputado;Qtd de Despesas;Total Gasto
1º;Pompeo de Mattos;844;R$ 654.217,85
2º;Zé Haroldo Cathedral;201;R$ 621.479,54
3º;Gabriel Mota;52;R$ 617.002,13
4º;Lucas Ramos;218;R$ 613.138,80
5º;Vinicius Gurgel;146;R$ 603.766,23
6º;Albuquerque;157;R$ 601.358,09
7º;Cleber Verde;120;R$ 598.315,04
8º;Adail Filho;197;R$ 597.214,07
9º;João Maia;331;R$ 596.255,00
10º;Átila Lins;146;R$ 588.929,48
11º;André Ferreira;547;R$ 588.064,30
12º;Cabo Gilberto Silva;277;R$ 583.712,51
13º;Defensor Stélio Dener;172;R$ 577.687,44
14º;Eunício Oliveira;95;R$ 577.529,83
15º;General Girão;665;R$ 577.270,30
16º;Daiana Santos;362;R$ 576.230,42
17º;Natália Bonavides;1232;R$ 569.064,11
18º;Delegado Éder Mauro;104;R$ 568.163,59
19º;Waldemar Oliveira;427;R$ 566.053,96
20º;Coronel Chrisóstomo;407;R$ 565.566,37
21º;Luiz Gastão;206;R$ 565.187,28
22º;Dr. Jaziel;232;R$ 564.005,32
23º;Fernanda Pessoa;708;R$ 563.055,77
24º;Antonio Brito;675;R$ 562.284,10
25º;Daniel Almeida;224;R$ 562.261,13
26º;Domingos Neto;127;R$ 561.315,25
27º;Coronel Ulysses;263;R$ 559.008,74
28º;Lucio Mosquini;314;R$ 558.978,66
29º;Afonso Motta;812;R$ 558.703,14
30º;Gabriel Nunes;586;R$ 557.691,38
31º;Geraldo Resende;136;R$ 557.469,39
32º;Marcos Aurélio Sampaio;102;R$ 554.815,18
33º;Benes Leocádio;490;R$ 554.530,99
34º;Pedro Westphalen;729;R$ 554.214,38
35º;Flávio Nogueira;253;R$ 552.986,08
36º;Bohn Gass;974;R$ 552.186,64
37º;Adriano do Baldy;639;R$ 551.421,43
38º;Nicoletti;461;R$ 550.013,46
39º;Danilo Forte;544;R$ 549.137,06
