Causa - CID-BR-10,UF,Obitos
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,RO,9856
. 001 Doenças infecciosas intestinais,RO,112
... 003 Diarréia e gastroenterite orig infec pres,RO,80
... 004 Outras doenças infecciosas intestinais,RO,32
..... 004.1 Febres tifóide e paratifóide,RO,0
. 005-006 Tuberculose,RO,185
... 005 Tuberculose respiratória,RO,169
... 006 Outras tuberculoses,RO,16
. 007-015 Outras doenças bacterianas,RO,1041
... 008 Leptospirose,RO,7
... 009 Hanseníase,RO,10
... 010 Tétano,RO,5
..... 010.1 Tétano neonatal,RO,0
..... 010.3 Tétano acidental,RO,5
... 011 Difteria,RO,0
... 012 Coqueluche,RO,0
... 013 Infecção meningocócica,RO,2
... 014 Septicemia,RO,926
... 015 Infecções com transmissão predom sexual,RO,17
. 016-023 Doenças virais,RO,774
... 017 Raiva,RO,0
... 018 Dengue,RO,17
... 019 Febre amarela,RO,0
... 020 Out febres p/arbovírus e febr hemor virais,RO,34
... 021 Sarampo,RO,1
... 022 Hepatite viral,RO,156
... 023 Doen p/vírus da imunodefic humana (HIV),RO,545
. 024-027 Doenças transmitidas por protozoários,RO,119
... 024 Malária,RO,24
... 025 Leishmaniose,RO,5
... 026 Doença de Chagas,RO,85
... 027 Toxoplasmose,RO,4
. 028-030 Helmintíases,RO,9
... 028 Esquistossomose,RO,6
... 029 Cisticercose,RO,3
... 030 Restante de helmintíases,RO,0
. 031 Restante algumas doenç infec e parasitárias,RO,7616
032-052 NEOPLASIAS,RO,9181
". 032 Neopl malig do lábio, cav oral e faringe",RO,298
. 033 Neoplasia maligna do esôfago,RO,299
. 034 Neoplasia maligna do estômago,RO,741
". 035 Neoplasia maligna do cólon,reto e ânus",RO,646
. 036 Neopl malig do fígado e vias bil intrahepát,RO,555
. 037 Neoplasia maligna do pâncreas,RO,399
. 038 Neoplasia maligna da laringe,RO,185
". 039 Neopl malig da traquéia,brônquios e pulmões",RO,1131
. 040 Neoplasia maligna da pele,RO,58
. 041 Neoplasia maligna da mama,RO,607
. 042 Neoplasia maligna do colo do útero,RO,400
. 043 Neopl malig de corpo e partes n/esp útero,RO,104
. 044 Neoplasia maligna do ovário,RO,104
. 045 Neoplasia maligna da próstata,RO,688
. 046 Neoplasia maligna da bexiga,RO,171
". 047 Neopl malig mening,encéf e out partes SNC",RO,383
. 048 Linfoma não-Hodgkin,RO,130
. 049 Mieloma mult e neopl malig de plasmócitos,RO,95
. 050 Leucemia,RO,302
". 051 Neoplasias in situ, benig, comport incert",RO,205
. 052 Restante de neoplasias malignas,RO,1680
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,RO,282
. 053 Anemias,RO,177
". 054 Rest d sangue, org hemat e alg transt imunit",RO,105
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",RO,3926
. 055 Diabetes mellitus,RO,3282
. 056 Desnutrição,RO,177
". 057 Rest doenças endócr, nutricion e metabólicas",RO,467
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,RO,444
. 058 Transt ment e comport uso subst psicoativas,RO,278
... 058.1 Trans ment e comport devid uso álcool,RO,167
. 059 Rest transtornos mentais e comportamentais,RO,166
060-063 DOENÇAS DO SISTEMA NERVOSO,RO,1509
. 060 Meningite,RO,27
. 061 Doença de Alzheimer,RO,652
. 062 Epilepsia,RO,149
. 063 Restante das doenças do sistema nervoso,RO,681
064 DOENÇAS DOS OLHOS E ANEXOS,RO,1
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,RO,10
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,RO,13289
. 066 Febre reumát aguda e doen reum crôn coração,RO,79
. 067 Doenças hipertensivas,RO,2572
. 068 Doenças isquêmicas do coração,RO,3670
... 068.1 Infarto agudo do miocárdio,RO,3231
. 069 Outras doenças cardíacas,RO,2779
. 070 Doenças cerebrovasculares,RO,3700
. 071 Aterosclerose,RO,14
. 072 Rest doenças do aparelho circulatório,RO,475
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,RO,5572
. 073 Influenza (gripe),RO,94
. 074 Pneumonia,RO,2405
. 075 Out infec agudas das vias aéreas inferiores,RO,28
... 075.1 Bronquiolite,RO,17
. 076 Doenças crônicas das vias aéreas inferiores,RO,2221
... 076.1 Asma,RO,91
. 077 Restante  doenças do aparelho respiratório,RO,824
078-082 DOENÇAS DO APARELHO DIGESTIVO,RO,2307
". 078 Úlcera gástrica, duodenal e péptica",RO,140
. 079 Peritonite,RO,59
. 080 Doenças do fígado,RO,896
... 080.1 Doença alcoólica do fígado,RO,211
... 080.2 Fibrose e cirrose do fígado,RO,404
... 080.3 Outras doenças do fígado,RO,281
. 081 Colecistite,RO,61
. 082 Rest doenças do aparelho digestivo,RO,1151
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,RO,125
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,RO,199
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,RO,1899
. 085 D glomerulares e d renais túbulo-interstic,RO,181
. 086 Insuficiência renal,RO,1070
. 087 Rest doenças do aparelho geniturinário,RO,648
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",RO,110
. 088 Gravidez que termina em aborto,RO,6
. 089 Outras causas obstétricas diretas,RO,33
. 090 Causas obstétricas indiretas,RO,57
. 091 Causa obstétrica não espec direta/indireta,RO,5
. 092 Causas maternas tardias e sequelas,RO,9
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,RO,1038
. 093 Feto e recemnasc afet fat mat e compl grav,RO,365
. 094 Transt relac duração gestação e cresc fetal,RO,55
. 095 Traumatismo de parto,RO,1
. 096 Trans resp e cardiovas espec per perinatal,RO,254
. 097 Rest afec originadas no período perinatal,RO,363
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",RO,490
. 098 Malformações congênitas do sistema nervoso,RO,103
. 099 Malf congênitas do aparelho circulatório,RO,182
". 100 Rest de malf cong, deform e anomal Cromoss",RO,205
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",RO,3929
. 101 Senilidade,RO,172
. 102 Morte sem assistência médica,RO,266
". 103 Rest sint, sin e ach anorm clín e laborat",RO,3491
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,RO,8649
. 104 Acidentes de transporte,RO,2754
. 105 Quedas,RO,514
. 106 Afogamento e submersões acidentais,RO,363
". 107 Exposição à fumaça, ao fogo e às chamas",RO,47
". 108 Envenen, intoxic por ou expos a subst nociv",RO,25
. 109 Lesões autoprovocadas voluntariamente,RO,896
. 110 Agressões,RO,3001
. 111 Eventos(fatos) cuja intenção é indeterminada,RO,427
. 112 Intervenções legais e operações de guerra,RO,11
. 113 Todas as outras causas externas,RO,611
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,AC,3687
. 001 Doenças infecciosas intestinais,AC,131
... 003 Diarréia e gastroenterite orig infec pres,AC,113
... 004 Outras doenças infecciosas intestinais,AC,18
..... 004.1 Febres tifóide e paratifóide,AC,0
. 005-006 Tuberculose,AC,192
... 005 Tuberculose respiratória,AC,176
... 006 Outras tuberculoses,AC,16
. 007-015 Outras doenças bacterianas,AC,481
... 008 Leptospirose,AC,8
... 009 Hanseníase,AC,4
... 010 Tétano,AC,4
..... 010.1 Tétano neonatal,AC,0
..... 010.3 Tétano acidental,AC,4
... 011 Difteria,AC,0
... 012 Coqueluche,AC,0
... 013 Infecção meningocócica,AC,1
... 014 Septicemia,AC,403
... 015 Infecções com transmissão predom sexual,AC,22
. 016-023 Doenças virais,AC,397
... 017 Raiva,AC,0
... 018 Dengue,AC,15
... 019 Febre amarela,AC,0
... 020 Out febres p/arbovírus e febr hemor virais,AC,25
... 021 Sarampo,AC,0
... 022 Hepatite viral,AC,200
... 023 Doen p/vírus da imunodefic humana (HIV),AC,138
. 024-027 Doenças transmitidas por protozoários,AC,25
... 024 Malária,AC,7
... 025 Leishmaniose,AC,3
... 026 Doença de Chagas,AC,12
... 027 Toxoplasmose,AC,2
. 028-030 Helmintíases,AC,4
... 028 Esquistossomose,AC,0
... 029 Cisticercose,AC,2
... 030 Restante de helmintíases,AC,2
. 031 Restante algumas doenç infec e parasitárias,AC,2457
032-052 NEOPLASIAS,AC,3501
". 032 Neopl malig do lábio, cav oral e faringe",AC,110
. 033 Neoplasia maligna do esôfago,AC,83
. 034 Neoplasia maligna do estômago,AC,279
". 035 Neoplasia maligna do cólon,reto e ânus",AC,197
. 036 Neopl malig do fígado e vias bil intrahepát,AC,298
. 037 Neoplasia maligna do pâncreas,AC,138
. 038 Neoplasia maligna da laringe,AC,80
". 039 Neopl malig da traquéia,brônquios e pulmões",AC,512
. 040 Neoplasia maligna da pele,AC,13
. 041 Neoplasia maligna da mama,AC,195
. 042 Neoplasia maligna do colo do útero,AC,263
. 043 Neopl malig de corpo e partes n/esp útero,AC,35
. 044 Neoplasia maligna do ovário,AC,37
. 045 Neoplasia maligna da próstata,AC,231
. 046 Neoplasia maligna da bexiga,AC,47
". 047 Neopl malig mening,encéf e out partes SNC",AC,158
. 048 Linfoma não-Hodgkin,AC,48
. 049 Mieloma mult e neopl malig de plasmócitos,AC,46
. 050 Leucemia,AC,130
". 051 Neoplasias in situ, benig, comport incert",AC,73
. 052 Restante de neoplasias malignas,AC,528
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,AC,212
. 053 Anemias,AC,164
". 054 Rest d sangue, org hemat e alg transt imunit",AC,48
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",AC,1384
. 055 Diabetes mellitus,AC,933
. 056 Desnutrição,AC,227
". 057 Rest doenças endócr, nutricion e metabólicas",AC,224
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,AC,127
. 058 Transt ment e comport uso subst psicoativas,AC,91
... 058.1 Trans ment e comport devid uso álcool,AC,63
. 059 Rest transtornos mentais e comportamentais,AC,36
060-063 DOENÇAS DO SISTEMA NERVOSO,AC,529
. 060 Meningite,AC,21
. 061 Doença de Alzheimer,AC,165
. 062 Epilepsia,AC,67
. 063 Restante das doenças do sistema nervoso,AC,276
064 DOENÇAS DOS OLHOS E ANEXOS,AC,4
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,AC,3
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,AC,5525
. 066 Febre reumát aguda e doen reum crôn coração,AC,32
. 067 Doenças hipertensivas,AC,737
. 068 Doenças isquêmicas do coração,AC,1711
... 068.1 Infarto agudo do miocárdio,AC,1547
. 069 Outras doenças cardíacas,AC,1153
. 070 Doenças cerebrovasculares,AC,1676
. 071 Aterosclerose,AC,4
. 072 Rest doenças do aparelho circulatório,AC,212
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,AC,3787
. 073 Influenza (gripe),AC,57
. 074 Pneumonia,AC,1750
. 075 Out infec agudas das vias aéreas inferiores,AC,46
... 075.1 Bronquiolite,AC,40
. 076 Doenças crônicas das vias aéreas inferiores,AC,1402
... 076.1 Asma,AC,34
. 077 Restante  doenças do aparelho respiratório,AC,532
078-082 DOENÇAS DO APARELHO DIGESTIVO,AC,1091
". 078 Úlcera gástrica, duodenal e péptica",AC,48
. 079 Peritonite,AC,48
. 080 Doenças do fígado,AC,486
... 080.1 Doença alcoólica do fígado,AC,139
... 080.2 Fibrose e cirrose do fígado,AC,177
... 080.3 Outras doenças do fígado,AC,170
. 081 Colecistite,AC,24
. 082 Rest doenças do aparelho digestivo,AC,485
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,AC,47
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,AC,72
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,AC,732
. 085 D glomerulares e d renais túbulo-interstic,AC,26
. 086 Insuficiência renal,AC,489
. 087 Rest doenças do aparelho geniturinário,AC,217
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",AC,53
. 088 Gravidez que termina em aborto,AC,8
. 089 Outras causas obstétricas diretas,AC,34
. 090 Causas obstétricas indiretas,AC,11
. 091 Causa obstétrica não espec direta/indireta,AC,0
. 092 Causas maternas tardias e sequelas,AC,0
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,AC,808
. 093 Feto e recemnasc afet fat mat e compl grav,AC,156
. 094 Transt relac duração gestação e cresc fetal,AC,65
. 095 Traumatismo de parto,AC,1
. 096 Trans resp e cardiovas espec per perinatal,AC,272
. 097 Rest afec originadas no período perinatal,AC,314
