 Mortalidade - Brasil
Óbitos p/Ocorrênc por Causa - CID-BR-10 e Unidade da Federação
Período:2019-2024
"Causa - CID-BR-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";9856;3687;22528;3206;34065;3539;6276;23599;13937;46161;14842;18571;45889;15258;9922;56940;108136;18551;127087;256637;63409;33179;65143;14424;20362;39941;16087;1091232
". 001 Doenças infecciosas intestinais";112;131;1013;192;1182;61;143;1027;1012;1668;820;626;1929;557;418;2335;2781;451;1621;6415;1682;881;1667;421;424;797;491;30857
"... 003 Diarréia e gastroenterite orig infec pres";80;113;861;175;829;48;100;550;811;1224;481;384;1568;422;373;1661;2081;380;1343;4596;1182;563;1164;333;321;590;385;22618
"... 004 Outras doenças infecciosas intestinais";32;18;152;17;353;13;43;477;201;444;339;242;361;135;45;674;700;71;278;1819;500;318;503;88;103;207;106;8239
"..... 004.1 Febres tifóide e paratifóide";-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
". 005-006 Tuberculose";185;192;1160;128;1737;94;94;1167;470;1322;476;531;2316;450;309;2288;1773;673;4735;6859;1058;618;1986;556;541;539;210;32467
"... 005 Tuberculose respiratória";169;176;1050;108;1627;86;85;1101;432;1199;427;498;2099;417;288;2152;1580;610;4427;6115;946;539;1781;505;496;476;182;29571
"... 006 Outras tuberculoses";16;16;110;20;110;8;9;66;38;123;49;33;217;33;21;136;193;63;308;744;112;79;205;51;45;63;28;2896
". 007-015 Outras doenças bacterianas";1041;481;1876;197;5755;549;485;4567;2129;9062;2853;5040;8525;3505;1498;10459;21508;1226;29580;34140;5986;4744;9389;1188;1999;2549;1193;171524
"... 008 Leptospirose";7;8;28;2;104;12;1;25;2;64;8;16;263;39;39;112;81;16;213;387;165;67;153;3;2;13;11;1841
"... 009 Hanseníase";10;4;15;2;55;1;28;99;40;55;8;21;41;7;15;90;35;23;45;45;32;4;7;11;33;46;2;774
"... 010 Tétano";5;4;14;-;20;5;2;33;8;17;4;8;18;5;9;29;33;6;13;27;31;16;40;6;8;7;-;368
"..... 010.1 Tétano neonatal";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"..... 010.3 Tétano acidental";5;4;12;-;20;5;2;33;8;17;4;8;18;5;9;29;33;6;13;27;31;16;40;6;8;7;-;366
"... 011 Difteria";-;-;-;-;-;-;-;11;1;-;1;-;-;-;-;1;-;-;2;1;-;-;-;1;-;-;-;18
"... 012 Coqueluche";-;-;-;-;1;-;-;2;1;1;-;-;-;-;-;2;5;1;4;4;7;3;1;-;1;-;1;34
"... 013 Infecção meningocócica";2;1;22;1;19;1;3;13;4;30;5;12;20;27;6;37;64;18;72;237;25;22;44;3;6;17;16;727
"... 014 Septicemia";926;403;1496;164;3736;466;344;3847;1655;7497;1977;3942;6994;2863;1053;8734;19744;691;27038;28428;5040;4203;8323;906;1605;2002;967;145044
"... 015 Infecções com transmissão predom sexual";17;22;57;7;93;24;6;54;59;53;33;40;123;33;21;88;178;23;276;292;65;40;125;26;43;76;43;1917
". 016-023 Doenças virais";774;397;2446;322;4621;382;481;2645;1169;2510;1109;1262;3829;1181;786;4926;7726;1805;9925;18426;5278;3657;8451;1405;1589;3139;1553;91794
"... 017 Raiva";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;4
"... 018 Dengue";17;15;30;1;24;11;11;23;27;42;20;39;46;23;27;206;1541;95;248;2407;996;418;290;148;79;728;481;7993
"... 019 Febre amarela";-;-;2;1;3;2;-;-;-;-;-;-;-;-;-;-;1;1;-;14;2;8;-;-;-;2;-;36
