DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
1980-10-01,PRECOS12_IPCAAB12,1980-10-01T00:00:00-03:00,1,10,1980,5.92
1980-11-01,PRECOS12_IPCAAB12,1980-11-01T00:00:00-03:00,1,11,1980,10.97
1980-12-01,PRECOS12_IPCAAB12,1980-12-01T00:00:00-02:00,1,12,1980,5.73
1981-01-01,PRECOS12_IPCAAB12,1981-01-01T00:00:00-02:00,1,1,1981,6.41
1981-02-01,PRECOS12_IPCAAB12,1981-02-01T00:00:00-02:00,1,2,1981,5.34
1981-03-01,PRECOS12_IPCAAB12,1981-03-01T00:00:00-03:00,1,3,1981,5.66
1981-04-01,PRECOS12_IPCAAB12,1981-04-01T00:00:00-03:00,1,4,1981,4.86
1981-05-01,PRECOS12_IPCAAB12,1981-05-01T00:00:00-03:00,1,5,1981,5.27
1981-06-01,PRECOS12_IPCAAB12,1981-06-01T00:00:00-03:00,1,6,1981,1.75
1981-07-01,PRECOS12_IPCAAB12,1981-07-01T00:00:00-03:00,1,7,1981,3.64
1981-08-01,PRECOS12_IPCAAB12,1981-08-01T00:00:00-03:00,1,8,1981,5.66
1981-09-01,PRECOS12_IPCAAB12,1981-09-01T00:00:00-03:00,1,9,1981,8.16
1981-10-01,PRECOS12_IPCAAB12,1981-10-01T00:00:00-03:00,1,10,1981,3.6
1981-11-01,PRECOS12_IPCAAB12,1981-11-01T00:00:00-03:00,1,11,1981,4.54
1981-12-01,PRECOS12_IPCAAB12,1981-12-01T00:00:00-02:00,1,12,1981,3.69
1982-01-01,PRECOS12_IPCAAB12,1982-01-01T00:00:00-02:00,1,1,1982,9.11
1982-02-01,PRECOS12_IPCAAB12,1982-02-01T00:00:00-02:00,1,2,1982,5.0
1982-03-01,PRECOS12_IPCAAB12,1982-03-01T00:00:00-03:00,1,3,1982,5.21
1982-04-01,PRECOS12_IPCAAB12,1982-04-01T00:00:00-03:00,1,4,1982,5.07
1982-05-01,PRECOS12_IPCAAB12,1982-05-01T00:00:00-03:00,1,5,1982,6.11
1982-06-01,PRECOS12_IPCAAB12,1982-06-01T00:00:00-03:00,1,6,1982,8.63
1982-07-01,PRECOS12_IPCAAB12,1982-07-01T00:00:00-03:00,1,7,1982,8.36
1982-08-01,PRECOS12_IPCAAB12,1982-08-01T00:00:00-03:00,1,8,1982,6.02
1982-09-01,PRECOS12_IPCAAB12,1982-09-01T00:00:00-03:00,1,9,1982,3.27
1982-10-01,PRECOS12_IPCAAB12,1982-10-01T00:00:00-03:00,1,10,1982,2.41
1982-11-01,PRECOS12_IPCAAB12,1982-11-01T00:00:00-03:00,1,11,1982,4.04
1982-12-01,PRECOS12_IPCAAB12,1982-12-01T00:00:00-02:00,1,12,1982,6.72
1983-01-01,PRECOS12_IPCAAB12,1983-01-01T00:00:00-02:00,1,1,1983,13.17
1983-02-01,PRECOS12_IPCAAB12,1983-02-01T00:00:00-02:00,1,2,1983,5.84
1983-03-01,PRECOS12_IPCAAB12,1983-03-01T00:00:00-03:00,1,3,1983,10.23
1983-04-01,PRECOS12_IPCAAB12,1983-04-01T00:00:00-03:00,1,4,1983,9.61
1983-05-01,PRECOS12_IPCAAB12,1983-05-01T00:00:00-03:00,1,5,1983,5.61
1983-06-01,PRECOS12_IPCAAB12,1983-06-01T00:00:00-03:00,1,6,1983,5.66
1983-07-01,PRECOS12_IPCAAB12,1983-07-01T00:00:00-03:00,1,7,1983,17.51
1983-08-01,PRECOS12_IPCAAB12,1983-08-01T00:00:00-03:00,1,8,1983,13.61
1983-09-01,PRECOS12_IPCAAB12,1983-09-01T00:00:00-03:00,1,9,1983,10.94
1983-10-01,PRECOS12_IPCAAB12,1983-10-01T00:00:00-03:00,1,10,1983,20.4
1983-11-01,PRECOS12_IPCAAB12,1983-11-01T00:00:00-03:00,1,11,1983,4.74
1983-12-01,PRECOS12_IPCAAB12,1983-12-01T00:00:00-02:00,1,12,1983,5.21
1984-01-01,PRECOS12_IPCAAB12,1984-01-01T00:00:00-02:00,1,1,1984,9.95
1984-02-01,PRECOS12_IPCAAB12,1984-02-01T00:00:00-02:00,1,2,1984,7.1
1984-03-01,PRECOS12_IPCAAB12,1984-03-01T00:00:00-03:00,1,3,1984,10.19
1984-04-01,PRECOS12_IPCAAB12,1984-04-01T00:00:00-03:00,1,4,1984,12.52
1984-05-01,PRECOS12_IPCAAB12,1984-05-01T00:00:00-03:00,1,5,1984,8.39
1984-06-01,PRECOS12_IPCAAB12,1984-06-01T00:00:00-03:00,1,6,1984,7.3
1984-07-01,PRECOS12_IPCAAB12,1984-07-01T00:00:00-03:00,1,7,1984,9.07
1984-08-01,PRECOS12_IPCAAB12,1984-08-01T00:00:00-03:00,1,8,1984,8.34
1984-09-01,PRECOS12_IPCAAB12,1984-09-01T00:00:00-03:00,1,9,1984,11.84
1984-10-01,PRECOS12_IPCAAB12,1984-10-01T00:00:00-03:00,1,10,1984,13.8
1984-11-01,PRECOS12_IPCAAB12,1984-11-01T00:00:00-03:00,1,11,1984,8.24
1984-12-01,PRECOS12_IPCAAB12,1984-12-01T00:00:00-02:00,1,12,1984,9.76
1985-01-01,PRECOS12_IPCAAB12,1985-01-01T00:00:00-02:00,1,1,1985,13.5
1985-02-01,PRECOS12_IPCAAB12,1985-02-01T00:00:00-02:00,1,2,1985,9.36
1985-03-01,PRECOS12_IPCAAB12,1985-03-01T00:00:00-03:00,1,3,1985,11.48
1985-04-01,PRECOS12_IPCAAB12,1985-04-01T00:00:00-03:00,1,4,1985,8.73
1985-05-01,PRECOS12_IPCAAB12,1985-05-01T00:00:00-03:00,1,5,1985,5.16
1985-06-01,PRECOS12_IPCAAB12,1985-06-01T00:00:00-03:00,1,6,1985,6.53
1985-07-01,PRECOS12_IPCAAB12,1985-07-01T00:00:00-03:00,1,7,1985,10.86
1985-08-01,PRECOS12_IPCAAB12,1985-08-01T00:00:00-03:00,1,8,1985,16.04
1985-09-01,PRECOS12_IPCAAB12,1985-09-01T00:00:00-03:00,1,9,1985,12.17
1985-10-01,PRECOS12_IPCAAB12,1985-10-01T00:00:00-03:00,1,10,1985,9.25
1985-11-01,PRECOS12_IPCAAB12,1985-11-01T00:00:00-03:00,1,11,1985,11.5
1985-12-01,PRECOS12_IPCAAB12,1985-12-01T00:00:00-02:00,1,12,1985,17.27
1986-01-01,PRECOS12_IPCAAB12,1986-01-01T00:00:00-02:00,1,1,1986,17.2
1986-02-01,PRECOS12_IPCAAB12,1986-02-01T00:00:00-02:00,1,2,1986,17.64
1986-03-01,PRECOS12_IPCAAB12,1986-03-01T00:00:00-03:00,1,3,1986,-3.49
1986-04-01,PRECOS12_IPCAAB12,1986-04-01T00:00:00-03:00,1,4,1986,-0.65
1986-05-01,PRECOS12_IPCAAB12,1986-05-01T00:00:00-03:00,1,5,1986,0.15
1986-06-01,PRECOS12_IPCAAB12,1986-06-01T00:00:00-03:00,1,6,1986,0.45
1986-07-01,PRECOS12_IPCAAB12,1986-07-01T00:00:00-03:00,1,7,1986,0.06
1986-08-01,PRECOS12_IPCAAB12,1986-08-01T00:00:00-03:00,1,8,1986,0.36
1986-09-01,PRECOS12_IPCAAB12,1986-09-01T00:00:00-03:00,1,9,1986,0.31
1986-10-01,PRECOS12_IPCAAB12,1986-10-01T00:00:00-03:00,1,10,1986,0.57
1986-11-01,PRECOS12_IPCAAB12,1986-11-01T00:00:00-03:00,1,11,1986,3.51
