DATE,quantidade_registros_na_data
2012-01-01,33
2012-04-01,33
2012-07-01,33
2012-10-01,33
2013-01-01,33
2013-04-01,33
2013-07-01,33
2013-10-01,33
2014-01-01,33
2014-04-01,33
2014-07-01,33
2014-10-01,33
2015-01-01,33
2015-04-01,33
2015-07-01,33
2015-10-01,33
2016-01-01,33
2016-04-01,33
2016-07-01,33
2016-10-01,33
2017-01-01,33
2017-04-01,33
2017-07-01,33
2017-10-01,33
2018-01-01,33
2018-04-01,33
2018-07-01,33
2018-10-01,33
2019-01-01,33
2019-04-01,33
2019-07-01,33
2019-10-01,33
2020-01-01,33
2020-04-01,33
2020-07-01,33
2020-10-01,33
2021-01-01,33
2021-04-01,33
2021-07-01,33
2021-10-01,33
2022-01-01,33
2022-04-01,33
2022-07-01,33
2022-10-01,33
2023-01-01,33
2023-04-01,33
2023-07-01,33
2023-10-01,33
2024-01-01,33
2024-04-01,33
2024-07-01,33
2024-10-01,33
2025-01-01,33
2025-04-01,33
2025-07-01,33
2025-10-01,33
