data_referencia,ano,mes,codigo_serie,ipca_alimentos_variacao_mensal_pct
1980-10-01,1980,10,PRECOS12_IPCAAB12,5.92
1980-11-01,1980,11,PRECOS12_IPCAAB12,10.97
1980-12-01,1980,12,PRECOS12_IPCAAB12,5.73
1981-01-01,1981,1,PRECOS12_IPCAAB12,6.41
1981-02-01,1981,2,PRECOS12_IPCAAB12,5.34
1981-03-01,1981,3,PRECOS12_IPCAAB12,5.66
1981-04-01,1981,4,PRECOS12_IPCAAB12,4.86
1981-05-01,1981,5,PRECOS12_IPCAAB12,5.27
1981-06-01,1981,6,PRECOS12_IPCAAB12,1.75
1981-07-01,1981,7,PRECOS12_IPCAAB12,3.64
1981-08-01,1981,8,PRECOS12_IPCAAB12,5.66
1981-09-01,1981,9,PRECOS12_IPCAAB12,8.16
1981-10-01,1981,10,PRECOS12_IPCAAB12,3.6
1981-11-01,1981,11,PRECOS12_IPCAAB12,4.54
1981-12-01,1981,12,PRECOS12_IPCAAB12,3.69
1982-01-01,1982,1,PRECOS12_IPCAAB12,9.11
1982-02-01,1982,2,PRECOS12_IPCAAB12,5.0
1982-03-01,1982,3,PRECOS12_IPCAAB12,5.21
1982-04-01,1982,4,PRECOS12_IPCAAB12,5.07
1982-05-01,1982,5,PRECOS12_IPCAAB12,6.11
1982-06-01,1982,6,PRECOS12_IPCAAB12,8.63
1982-07-01,1982,7,PRECOS12_IPCAAB12,8.36
1982-08-01,1982,8,PRECOS12_IPCAAB12,6.02
1982-09-01,1982,9,PRECOS12_IPCAAB12,3.27
1982-10-01,1982,10,PRECOS12_IPCAAB12,2.41
1982-11-01,1982,11,PRECOS12_IPCAAB12,4.04
1982-12-01,1982,12,PRECOS12_IPCAAB12,6.72
1983-01-01,1983,1,PRECOS12_IPCAAB12,13.17
1983-02-01,1983,2,PRECOS12_IPCAAB12,5.84
1983-03-01,1983,3,PRECOS12_IPCAAB12,10.23
1983-04-01,1983,4,PRECOS12_IPCAAB12,9.61
1983-05-01,1983,5,PRECOS12_IPCAAB12,5.61
1983-06-01,1983,6,PRECOS12_IPCAAB12,5.66
1983-07-01,1983,7,PRECOS12_IPCAAB12,17.51
1983-08-01,1983,8,PRECOS12_IPCAAB12,13.61
1983-09-01,1983,9,PRECOS12_IPCAAB12,10.94
1983-10-01,1983,10,PRECOS12_IPCAAB12,20.4
1983-11-01,1983,11,PRECOS12_IPCAAB12,4.74
1983-12-01,1983,12,PRECOS12_IPCAAB12,5.21
1984-01-01,1984,1,PRECOS12_IPCAAB12,9.95
1984-02-01,1984,2,PRECOS12_IPCAAB12,7.1
1984-03-01,1984,3,PRECOS12_IPCAAB12,10.19
1984-04-01,1984,4,PRECOS12_IPCAAB12,12.52
1984-05-01,1984,5,PRECOS12_IPCAAB12,8.39
1984-06-01,1984,6,PRECOS12_IPCAAB12,7.3
1984-07-01,1984,7,PRECOS12_IPCAAB12,9.07
1984-08-01,1984,8,PRECOS12_IPCAAB12,8.34
1984-09-01,1984,9,PRECOS12_IPCAAB12,11.84
1984-10-01,1984,10,PRECOS12_IPCAAB12,13.8
1984-11-01,1984,11,PRECOS12_IPCAAB12,8.24
1984-12-01,1984,12,PRECOS12_IPCAAB12,9.76
1985-01-01,1985,1,PRECOS12_IPCAAB12,13.5
1985-02-01,1985,2,PRECOS12_IPCAAB12,9.36
1985-03-01,1985,3,PRECOS12_IPCAAB12,11.48
1985-04-01,1985,4,PRECOS12_IPCAAB12,8.73
1985-05-01,1985,5,PRECOS12_IPCAAB12,5.16
1985-06-01,1985,6,PRECOS12_IPCAAB12,6.53
1985-07-01,1985,7,PRECOS12_IPCAAB12,10.86
1985-08-01,1985,8,PRECOS12_IPCAAB12,16.04
1985-09-01,1985,9,PRECOS12_IPCAAB12,12.17
1985-10-01,1985,10,PRECOS12_IPCAAB12,9.25
1985-11-01,1985,11,PRECOS12_IPCAAB12,11.5
1985-12-01,1985,12,PRECOS12_IPCAAB12,17.27
1986-01-01,1986,1,PRECOS12_IPCAAB12,17.2
1986-02-01,1986,2,PRECOS12_IPCAAB12,17.64
1986-03-01,1986,3,PRECOS12_IPCAAB12,-3.49
1986-04-01,1986,4,PRECOS12_IPCAAB12,-0.65
1986-05-01,1986,5,PRECOS12_IPCAAB12,0.15
1986-06-01,1986,6,PRECOS12_IPCAAB12,0.45
1986-07-01,1986,7,PRECOS12_IPCAAB12,0.06
1986-08-01,1986,8,PRECOS12_IPCAAB12,0.36
1986-09-01,1986,9,PRECOS12_IPCAAB12,0.31
1986-10-01,1986,10,PRECOS12_IPCAAB12,0.57
1986-11-01,1986,11,PRECOS12_IPCAAB12,3.51
1986-12-01,1986,12,PRECOS12_IPCAAB12,4.73
1987-01-01,1987,1,PRECOS12_IPCAAB12,17.6
1987-02-01,1987,2,PRECOS12_IPCAAB12,18.34
1987-03-01,1987,3,PRECOS12_IPCAAB12,10.23
1987-04-01,1987,4,PRECOS12_IPCAAB12,19.26
1987-05-01,1987,5,PRECOS12_IPCAAB12,22.03
1987-06-01,1987,6,PRECOS12_IPCAAB12,21.97
1987-07-01,1987,7,PRECOS12_IPCAAB12,9.77
1987-08-01,1987,8,PRECOS12_IPCAAB12,4.2
1987-09-01,1987,9,PRECOS12_IPCAAB12,5.73
1987-10-01,1987,10,PRECOS12_IPCAAB12,8.54
1987-11-01,1987,11,PRECOS12_IPCAAB12,15.13
1987-12-01,1987,12,PRECOS12_IPCAAB12,13.52
1988-01-01,1988,1,PRECOS12_IPCAAB12,17.34
1988-02-01,1988,2,PRECOS12_IPCAAB12,13.92
1988-03-01,1988,3,PRECOS12_IPCAAB12,19.24
1988-04-01,1988,4,PRECOS12_IPCAAB12,20.52
1988-05-01,1988,5,PRECOS12_IPCAAB12,17.24
1988-06-01,1988,6,PRECOS12_IPCAAB12,23.1
1988-07-01,1988,7,PRECOS12_IPCAAB12,26.41
1988-08-01,1988,8,PRECOS12_IPCAAB12,20.9
1988-09-01,1988,9,PRECOS12_IPCAAB12,29.6
1988-10-01,1988,10,PRECOS12_IPCAAB12,29.97
1988-11-01,1988,11,PRECOS12_IPCAAB12,29.96
1988-12-01,1988,12,PRECOS12_IPCAAB12,28.61
1989-01-01,1989,1,PRECOS12_IPCAAB12,34.98
1989-02-01,1989,2,PRECOS12_IPCAAB12,14.1
1989-03-01,1989,3,PRECOS12_IPCAAB12,2.76
1989-04-01,1989,4,PRECOS12_IPCAAB12,6.32
1989-05-01,1989,5,PRECOS12_IPCAAB12,21.72
1989-06-01,1989,6,PRECOS12_IPCAAB12,39.94
1989-07-01,1989,7,PRECOS12_IPCAAB12,24.81
1989-08-01,1989,8,PRECOS12_IPCAAB12,32.56
1989-09-01,1989,9,PRECOS12_IPCAAB12,29.39
1989-10-01,1989,10,PRECOS12_IPCAAB12,31.67
1989-11-01,1989,11,PRECOS12_IPCAAB12,46.76
1989-12-01,1989,12,PRECOS12_IPCAAB12,54.28
1990-01-01,1990,1,PRECOS12_IPCAAB12,73.6
1990-02-01,1990,2,PRECOS12_IPCAAB12,67.65
1990-03-01,1990,3,PRECOS12_IPCAAB12,90.23
1990-04-01,1990,4,PRECOS12_IPCAAB12,7.38
1990-05-01,1990,5,PRECOS12_IPCAAB12,3.33
1990-06-01,1990,6,PRECOS12_IPCAAB12,10.9
1990-07-01,1990,7,PRECOS12_IPCAAB12,14.86
1990-08-01,1990,8,PRECOS12_IPCAAB12,10.29
1990-09-01,1990,9,PRECOS12_IPCAAB12,15.01
1990-10-01,1990,10,PRECOS12_IPCAAB12,12.67
1990-11-01,1990,11,PRECOS12_IPCAAB12,15.79
1990-12-01,1990,12,PRECOS12_IPCAAB12,16.92
1991-01-01,1991,1,PRECOS12_IPCAAB12,21.94
1991-02-01,1991,2,PRECOS12_IPCAAB12,18.49
1991-03-01,1991,3,PRECOS12_IPCAAB12,3.87
1991-04-01,1991,4,PRECOS12_IPCAAB12,5.28
1991-05-01,1991,5,PRECOS12_IPCAAB12,4.6
1991-06-01,1991,6,PRECOS12_IPCAAB12,11.23
1991-07-01,1991,7,PRECOS12_IPCAAB12,12.79
1991-09-01,1991,9,PRECOS12_IPCAAB12,37.85
1991-10-01,1991,10,PRECOS12_IPCAAB12,25.61
1991-11-01,1991,11,PRECOS12_IPCAAB12,30.91
1991-12-01,1991,12,PRECOS12_IPCAAB12,21.66
1992-01-01,1992,1,PRECOS12_IPCAAB12,24.3
1992-02-01,1992,2,PRECOS12_IPCAAB12,24.68
1992-03-01,1992,3,PRECOS12_IPCAAB12,20.89
1992-04-01,1992,4,PRECOS12_IPCAAB12,18.91
1992-05-01,1992,5,PRECOS12_IPCAAB12,25.34
1992-06-01,1992,6,PRECOS12_IPCAAB12,20.57
1992-07-01,1992,7,PRECOS12_IPCAAB12,20.81
1992-08-01,1992,8,PRECOS12_IPCAAB12,22.93
1992-09-01,1992,9,PRECOS12_IPCAAB12,25.72
1992-10-01,1992,10,PRECOS12_IPCAAB12,26.93
1992-11-01,1992,11,PRECOS12_IPCAAB12,23.18
1992-12-01,1992,12,PRECOS12_IPCAAB12,27.42
1993-01-01,1993,1,PRECOS12_IPCAAB12,32.8
1993-02-01,1993,2,PRECOS12_IPCAAB12,23.92
1993-03-01,1993,3,PRECOS12_IPCAAB12,26.02
