data_referencia,ano,mes,codigo_serie,rendimento_real_medio_reais,quantidade_registros_agregados
2012-01-01,2012,1,PNADCT_RRETUF,2995.0,33
2012-04-01,2012,4,PNADCT_RRETUF,2811.030303030303,33
2012-07-01,2012,7,PNADCT_RRETUF,2830.0,32
2012-10-01,2012,10,PNADCT_RRETUF,2849.060606060606,33
2013-01-01,2013,1,PNADCT_RRETUF,2961.969696969697,33
2013-04-01,2013,4,PNADCT_RRETUF,2851.21875,32
2013-07-01,2013,7,PNADCT_RRETUF,2909.242424242424,33
2013-10-01,2013,10,PNADCT_RRETUF,2941.121212121212,33
2014-01-01,2014,1,PNADCT_RRETUF,3041.909090909091,33
2014-04-01,2014,4,PNADCT_RRETUF,2927.848484848485,33
2014-07-01,2014,7,PNADCT_RRETUF,2925.4848484848485,33
2014-10-01,2014,10,PNADCT_RRETUF,2971.0,32
2015-01-01,2015,1,PNADCT_RRETUF,3038.848484848485,33
2015-04-01,2015,4,PNADCT_RRETUF,2894.2727272727275,33
2015-07-01,2015,7,PNADCT_RRETUF,2854.939393939394,33
2015-10-01,2015,10,PNADCT_RRETUF,2899.0625,32
2016-01-01,2016,1,PNADCT_RRETUF,3096.3030303030305,33
2016-04-01,2016,4,PNADCT_RRETUF,2822.3030303030305,33
2016-07-01,2016,7,PNADCT_RRETUF,2842.090909090909,33
2016-10-01,2016,10,PNADCT_RRETUF,2911.818181818182,33
2017-01-01,2017,1,PNADCT_RRETUF,3155.5151515151515,33
2017-04-01,2017,4,PNADCT_RRETUF,2871.3333333333335,33
2017-07-01,2017,7,PNADCT_RRETUF,2907.090909090909,33
2017-10-01,2017,10,PNADCT_RRETUF,2971.242424242424,33
2018-01-01,2018,1,PNADCT_RRETUF,3179.121212121212,33
2018-04-01,2018,4,PNADCT_RRETUF,2906.0,33
2018-07-01,2018,7,PNADCT_RRETUF,2924.4242424242425,33
2018-10-01,2018,10,PNADCT_RRETUF,3036.064516129032,31
2019-01-01,2019,1,PNADCT_RRETUF,3204.909090909091,33
2019-04-01,2019,4,PNADCT_RRETUF,2901.878787878788,33
2019-07-01,2019,7,PNADCT_RRETUF,2917.242424242424,33
2019-10-01,2019,10,PNADCT_RRETUF,3003.0,33
2020-01-01,2020,1,PNADCT_RRETUF,3181.121212121212,33
2020-04-01,2020,4,PNADCT_RRETUF,2859.7272727272725,33
2020-07-01,2020,7,PNADCT_RRETUF,2937.818181818182,33
2020-10-01,2020,10,PNADCT_RRETUF,3011.181818181818,33
2021-01-01,2021,1,PNADCT_RRETUF,3102.4848484848485,33
2021-04-01,2021,4,PNADCT_RRETUF,2868.34375,32
2021-07-01,2021,7,PNADCT_RRETUF,2813.03125,32
2021-10-01,2021,10,PNADCT_RRETUF,2786.969696969697,33
2022-01-01,2022,1,PNADCT_RRETUF,2985.7272727272725,33
2022-04-01,2022,4,PNADCT_RRETUF,2813.0,33
2022-07-01,2022,7,PNADCT_RRETUF,2917.787878787879,33
2022-10-01,2022,10,PNADCT_RRETUF,3054.3030303030305,33
2023-01-01,2023,1,PNADCT_RRETUF,3206.5454545454545,33
2023-04-01,2023,4,PNADCT_RRETUF,2973.3030303030305,33
2023-07-01,2023,7,PNADCT_RRETUF,3043.5454545454545,33
2023-10-01,2023,10,PNADCT_RRETUF,3120.3333333333335,33
2024-01-01,2024,1,PNADCT_RRETUF,3316.4545454545455,33
2024-04-01,2024,4,PNADCT_RRETUF,3142.5454545454545,33
2024-07-01,2024,7,PNADCT_RRETUF,3162.5454545454545,33
2024-10-01,2024,10,PNADCT_RRETUF,3266.9375,32
2025-01-01,2025,1,PNADCT_RRETUF,3503.90625,32
2025-04-01,2025,4,PNADCT_RRETUF,3249.2727272727275,33
2025-07-01,2025,7,PNADCT_RRETUF,3325.3939393939395,33
2025-10-01,2025,10,PNADCT_RRETUF,3466.2727272727275,33
