ano,populacao
2018,208494900
1997,159636413
2016,206081432
2002,174632960
2020,211755692
2017,207660929
1999,163947554
1994,153725670
2019,210147125
2022,203080756
1993,151571727
2007,184014516
2011,192379287
1995,155822440
2005,184184264
2001,172385826
2003,176871437
2015,204450049
2013,201032714
2006,186770562
1991,146815815
2008,189612814
2021,213317639
1996,157070163
2004,181581024
2010,190755799
1992,149236984
2009,191446848
2024,212583750
2012,193946886
2014,202768562
2000,169872854
1998,161790311
2025,213421037
2023,203078668
