ano,sigla_uf,populacao
2025,,5877
1991,AC,417102
2009,AC,691132
1998,AC,514050
2010,AC,733559
2015,AC,803513
2025,AC,884372
1996,AC,483593
2013,AC,776463
1999,AC,527937
2006,AC,686652
2001,AC,574355
1995,AC,455242
2008,AC,680073
2017,AC,829619
2019,AC,881935
1997,AC,500185
1994,AC,446480
2004,AC,630328
1993,AC,437495
2005,AC,669736
2003,AC,600595
2014,AC,790101
2016,AC,816687
1992,AC,428006
2021,AC,906876
2023,AC,830018
2011,AC,746386
2020,AC,894470
2012,AC,758786
2022,AC,830018
2024,AC,880631
2007,AC,655385
2018,AC,869265
2002,AC,586942
2000,AC,557882
2013,AL,3300935
2011,AL,3143384
2018,AL,3322820
1999,AL,2713203
2003,AL,2917664
2022,AL,3127683
1997,AL,2663071
2010,AL,3120494
1992,AL,2548092
2014,AL,3321730
2002,AL,2887535
2006,AL,3050652
2008,AL,3127557
2021,AL,3365351
2015,AL,3340932
2017,AL,3375823
2024,AL,3220104
2004,AL,2980910
1995,AL,2685421
1996,AL,2633251
2012,AL,3165472
2025,AL,3220848
1994,AL,2645417
1998,AL,2688117
2009,AL,3156108
2000,AL,2827856
2005,AL,3015912
2020,AL,3351543
2019,AL,3337357
2016,AL,3358963
1993,AL,2604394
1991,AL,2512658
2001,AL,2856629
2007,AL,3037231
2023,AL,3127683
1994,AM,2269555
2021,AM,4269995
1993,AM,2217600
2001,AM,2900240
2002,AM,2961801
2015,AM,3938336
1991,AM,2102766
2004,AM,3138726
2005,AM,3232330
2000,AM,2817253
2020,AM,4207714
2025,AM,4321616
1999,AM,2580860
2019,AM,4144597
1998,AM,2520684
2011,AM,3538387
2014,AM,3873743
2009,AM,3393369
2017,AM,4063614
2006,AM,3311026
2007,AM,3221940
1995,AM,2320221
1996,AM,2389279
1997,AM,2460602
2023,AM,3941613
2003,AM,3031068
2013,AM,3807921
1992,AM,2165852
2008,AM,3341096
2022,AM,3941613
2012,AM,3590985
2018,AM,4080611
2024,AM,4281209
2010,AM,3483985
2016,AM,4001667
2021,AP,877613
2009,AP,626609
2006,AP,615715
2013,AP,734996
2010,AP,669526
1997,AP,401916
2020,AP,861773
2001,AP,498735
2011,AP,684309
2025,AP,806517
2007,AP,587311
2008,AP,613164
1998,AP,420834
2018,AP,829494
1991,AP,289035
2004,AP,547400
2015,AP,766679
1996,AP,379459
2002,AP,516511
2023,AP,733759
1993,AP,308787
2014,AP,750912
2000,AP,477032
2017,AP,797722
2019,AP,845731
2003,AP,534835
1995,AP,326188
2016,AP,782295
2012,AP,698602
2024,AP,802837
1994,AP,317597
1999,AP,439781
2022,AP,733759
2005,AP,594587
1992,AP,299305
2003,BA,13435612
2013,BA,15044137
2007,BA,14080670
1997,BA,12709744
2000,BA,13085768
2009,BA,14637364
1996,BA,12541675
2020,BA,14930634
2017,BA,15344447
2019,BA,14873064
2018,BA,14812617
2014,BA,15126371
2002,BA,13323212
2006,BA,13950146
2005,BA,13815334
2004,BA,13682074
2001,BA,13214114
2015,BA,15203334
1995,BA,12645982
1993,BA,12278027
2010,BA,14016906
1999,BA,12993011
2016,BA,15276566
1992,BA,12014023
2021,BA,14985284
1998,BA,12851268
2023,BA,14141626
2012,BA,14175341
1994,BA,12464316
2024,BA,14850513
2022,BA,14141626
2025,BA,14870907
1991,BA,11867336
2011,BA,14097534
2008,BA,14502575
2014,CE,8842791
1993,CE,6549847
2006,CE,8217085
2018,CE,9075649
2024,CE,9233656
2017,CE,9020460
2025,CE,9268836
2010,CE,8452381
2023,CE,8794957
2011,CE,8530155
1999,CE,7106605
2009,CE,8547809
1992,CE,6433713
2013,CE,8778576
2005,CE,8097276
2019,CE,9132078
1994,CE,6633080
2001,CE,7547620
2002,CE,7654535
2007,CE,8185250
1997,CE,6920292
1991,CE,6366132
1995,CE,6714246
1998,CE,7013376
2000,CE,7431597
2022,CE,8794957
2008,CE,8450527
2021,CE,9240580
2016,CE,8963663
1996,CE,6809290
2012,CE,8606005
2020,CE,9187103
2015,CE,8904459
2004,CE,7976563
2003,CE,7758441
2004,DF,2282049
2009,DF,2606885
1992,DF,1639035
1998,DF,1923406
2006,DF,2383784
2016,DF,2977216
2024,DF,2982818
2023,DF,2817381
1995,DF,1737813
1997,DF,1877015
2010,DF,2570160
2008,DF,2557158
2025,DF,2996899
2015,DF,2914830
1994,DF,1705889
2017,DF,3039444
2020,DF,3055149
2001,DF,2097447
2014,DF,2852372
2000,DF,2051146
2003,DF,2189789
1991,DF,1601093
2012,DF,2648532
2011,DF,2609998
2005,DF,2333108
2002,DF,2145839
1993,DF,1673151
2021,DF,3094325
2007,DF,2455903
2018,DF,2974703
2013,DF,2789761
2019,DF,3015268
1996,DF,1821946
2022,DF,2817381
1999,DF,1969868
2002,ES,3201722
1999,ES,2938062
1994,ES,2743243
2018,ES,3972388
2006,ES,3464285
1993,ES,2698687
2000,ES,3097497
2023,ES,3833712
2020,ES,4064052
1997,ES,2853098
1995,ES,2786692
2014,ES,3885049
2004,ES,3352024
2001,ES,3155016
2022,ES,3833712
1998,ES,2895547
2003,ES,3250219
2025,ES,4126854
2021,ES,4108508
2019,ES,4018650
2017,ES,4016356
1991,ES,2600619
1992,ES,2649747
2005,ES,3408365
2016,ES,3973697
2024,ES,4102129
2007,ES,3351669
2010,ES,3514952
2013,ES,3839366
2015,ES,3929911
1996,ES,2802707
2012,ES,3578067
2009,ES,3487199
2008,ES,3453648
2011,ES,3547055
2003,GO,5306459
2011,GO,6080716
1997,GO,4639785
1992,GO,4098513
1996,GO,4514967
2012,GO,6154996
2019,GO,7018354
2002,GO,5210335
2025,GO,7423629
2008,GO,5844996
2020,GO,7113540
1999,GO,4848725
2001,GO,5116462
2013,GO,6434048
2017,GO,6778772
2024,GO,7350483
2023,GO,7056495
1994,GO,4240812
2007,GO,5647035
2018,GO,6921161
2005,GO,5619917
1991,GO,4017506
1998,GO,4744174
1995,GO,4308415
2016,GO,6695855
2000,GO,5004196
2010,GO,6003788
2004,GO,5508245
2006,GO,5730753
2021,GO,7206589
2014,GO,6523222
2022,GO,7056495
2015,GO,6610681
1993,GO,4171489
2009,GO,5926300
2021,MA,7153262
2011,MA,6645761
2017,MA,7000229
1993,MA,5088898
2004,MA,6021504
2010,MA,6574789
2024,MA,7010960
1995,MA,5231261
2018,MA,7035055
2008,MA,6305539
2009,MA,6367138
2013,MA,6794301
1992,MA,4990749
1994,MA,5160974
2016,MA,6954036
2006,MA,6184538
2019,MA,7075181
2025,MA,7018211
2003,MA,5873655
2022,MA,6776699
2000,MA,5657553
2014,MA,6850884
2007,MA,6118995
1996,MA,5222183
2015,MA,6904241
2001,MA,5730467
2002,MA,5803224
1998,MA,5356853
1997,MA,5295452
2023,MA,6776699
2005,MA,6103327
1999,MA,5418349
2012,MA,6714314
2020,MA,7114598
1991,MA,4929676
1995,MG,16505334
1999,MG,17295955
1993,MG,16144856
2005,MG,19237450
2010,MG,19597330
2015,MG,20869101
2013,MG,20593356
2012,MG,19855332
1996,MG,16672613
1992,MG,15941939
2016,MG,20997560
2014,MG,20734097
2001,MG,18127096
2004,MG,18993720
1997,MG,16904977
2019,MG,21168791
2008,MG,19850072
2024,MG,21322691
1994,MG,16327360
2006,MG,19479356
2011,MG,19728701
2007,MG,19273533
1998,MG,17100314
2021,MG,21411923
1991,MG,15743536
2000,MG,17905135
2020,MG,21292666
2017,MG,21119536
2025,MG,21393441
2022,MG,20539989
2009,MG,20033665
2023,MG,20539989
2002,MG,18343517
2003,MG,18553312
2018,MG,21040662
2002,MS,2140624
2025,MS,2924631
2004,MS,2230702
1998,MS,1995578
2015,MS,2651235
2007,MS,2265813
1992,MS,1818175
2010,MS,2449024
2008,MS,2336058
1997,MS,1964603
2006,MS,2297981
1996,MS,1927834
